collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,25,sparseonly,cross-encoder,0.87,0.4475,0.5509,1938.55,3126.8,3311.38,0.57
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,50,sparseonly,cross-encoder,0.91,0.4352,0.5507,3277.92,6374.97,6425.1,0.26
scifact_product_x16,../qdrant-load/configs/scifact/config_product_x16.yml,20,100,sparseonly,cross-encoder,0.9,0.4552,0.5624,6782.52,12652.22,12871.14,0.13
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,25,hybrid,colbert,0.87,0.4842,0.58,42.09,49.64,65.35,58.63
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,50,hybrid,colbert,0.9,0.4898,0.5912,42.89,50.98,55.85,59.24
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,100,hybrid,colbert,0.89,0.4895,0.5885,44.04,52.67,57.55,57.26
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,25,hybrid,colbert,0.88,0.4683,0.5697,42.89,53.91,59.19,58.34
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,50,hybrid,colbert,0.93,0.4469,0.5655,44.15,52.77,63.17,58.61
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,100,hybrid,colbert,0.93,0.486,0.5948,45.25,53.75,60.07,58.79
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,25,hybrid,cross-encoder,0.85,0.4854,0.5762,1202.32,3084.84,3501.07,0.58
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,50,hybrid,cross-encoder,0.88,0.4612,0.5641,3404.1,6411.74,6560.11,0.26
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,100,hybrid,cross-encoder,0.87,0.4578,0.5593,8035.57,12704.2,12954.9,0.13
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,25,hybrid,cross-encoder,0.91,0.4878,0.5903,1668.57,3070.66,3271.52,0.52
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,50,hybrid,cross-encoder,0.94,0.4769,0.5877,3467.66,6355.46,6453.4,0.25
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,100,hybrid,cross-encoder,0.92,0.4695,0.5779,7684.92,12788.18,19469.67,0.12
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,25,hybrid,rrf,0.86,0.4501,0.5484,25.99,30.09,35.59,278.08
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,50,hybrid,rrf,0.87,0.4545,0.5553,26.74,33.89,48.4,263.1
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,10,100,hybrid,rrf,0.85,0.4132,0.5198,26.85,30.47,33.72,279.72
scifact_scalar_int8,../qdrant-load/configs/scifact/config_scalar_int8.yml,20,25,hybrid,rrf,0.88,0.4453,0.549,26.64,30.94,35.91,273.71
